time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010452359763	5.89074	-8.0601	-2.8671	-2.58143	-0.918133	lidar	0.885729	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606
1477010452414768	5.89074	-8.0601	-2.8671	-2.58143	-0.918133	radar	0	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801
1477010452469773	6.12231	-7.84161	-2.87983	-2.62035	-0.849841	lidar	1.0989	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801
1477010452524779	6.12231	-7.84161	-2.87983	-2.62035	-0.849841	radar	0	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798
1477010452579785	6.34687	-7.63639	-2.85855	-2.64864	-0.778408	lidar	1.22398	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798
1477010452634722	6.34687	-7.63639	-2.85855	-2.64864	-0.778408	radar	0	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027
1477010452689660	6.56308	-7.44484	-2.80984	-2.6697	-0.707739	lidar	1.3583	6.452	-7.36418	6.45	-7.35	1.82025	1.82025
1477010452739683	6.56308	-7.44484	-2.80984	-2.6697	-0.707739	radar	0	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908
1477010452789706	6.79136	-7.2598	-2.83007	-2.68518	-0.646369	lidar	1.01094	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908
1477010452844772	6.79136	-7.2598	-2.83007	-2.68518	-0.646369	radar	0	6.68682	-6.93297	6.8	-7.05	0.908005	1.816
1477010452899838	6.99833	-7.05973	-2.76933	-2.67679	-0.558017	lidar	2.19127	6.86356	-6.94732	6.85	-6.95	0.908	1.81601
1477010452954812	6.99833	-7.05973	-2.76933	-2.67679	-0.558017	radar	0	7.08741	-6.92602	7	-6.85	2.72856	1.81904
1477010453009787	7.22935	-6.86292	-2.75508	-2.67337	-0.4859	lidar	1.27141	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902
1477010453064726	7.22935	-6.86292	-2.75508	-2.67337	-0.4859	radar	0	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202
1477010453119666	7.44774	-6.66675	-2.72155	-2.65944	-0.410924	lidar	1.42345	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018
1477010453169672	7.44774	-6.66675	-2.72155	-2.65944	-0.410924	radar	0	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884
1477010453219678	7.67726	-6.51599	-2.72488	-2.67426	-0.381658	lidar	0.219656	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884
1477010453274711	7.67726	-6.51599	-2.72488	-2.67426	-0.381658	radar	0	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549
